ROK,EPC_KOD,EPC_SKUPINA,VS_ID_CREPC,VS_KOD,FAKULTA_CREPC,KATEDRA_CREPC,VS_NAZOV,FAKULTA_NAZOV,OBLAST_VYSKUMU_KOD,OBLAST_VYSKUMU_KOD2,OBLAST_VYSKUMU_KOD3,OBLAST_VYSKUMU_KOD4,OBLAST_VYSKUMU_KOD5,PODIEL,AUTORI_VSETCI,AUTORI_VS,ISBN,ISSN,ISSN2,ISSN3,ISMN,DOI,PRACOVISKO_UVEDENE,VYDAVATEL,ZDROJOVY_DOKUMENT,JAZYK,ROZSAH,ID v CREPC,CCC,SCOPUS,WOS CC,IF,SJR,SNIP,CiteScore,JCR,JCR DISCIPLINA,SCIMAGO,SCIMAGO DISCIPLINA,upraveny kod vs,verejna skola,pocetnost,skupina_07711,skupina 077 12,WOS kvartil,WoS bonus,mnozina,zaklad 07711,zaklad 07712,patenty,vaha_kvartil,PP_07712,PP_07711,techvahacelkova,,,,,,,,
2021,AAB,A1,24780,716000000,FFA,UKFFFAKTR,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,20,NULL,NULL,NULL,NULL,70.00000,1,1,9788055817002,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,255319,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A1,A1,NU,1,M6,1,1,0,1,1,1,1,,,,,,,,
2021,BCI,A2,24780,716000000,FPV,UKFFPVKGR,Univerzita Konštantína Filozofa v Nitre,Fakulta prírodných vied a informatiky,92,NULL,NULL,NULL,NULL,80.00000,1,1,9788055816968,NULL,NULL,NULL,NULL,NULL,uvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,304624,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M1,1,0,0,1,0,1,1,,,,,,,,
2020,BAB,A2,24780,716000000,FFA,UKFFFASJL,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,20,NULL,NULL,NULL,NULL,100.00000,1,1,9788055816159,NULL,NULL,NULL,NULL,NULL,uvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,310075,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M6,1,0,0,1,0,1,1,,,,,,,,
2021,FAI,A2,24780,716000000,PFA,UKFPFAKHU,Univerzita Konštantína Filozofa v Nitre,Pedagogická fakulta UKF,20,NULL,NULL,NULL,NULL,50.00000,1,1,9788080605056,NULL,NULL,NULL,NULL,NULL,uvedené,Slovenská muzikologická asociácia; Hudobné múzeum; Katedra muzikológie,NULL,slo,,311841,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M6,1,0,0,1,0,1,1,,,,,,,,
2021,AAB,A1,24780,716000000,FPV,UKFFPVKEE,Univerzita Konštantína Filozofa v Nitre,Fakulta prírodných vied a informatiky,100,NULL,NULL,NULL,NULL,100.00000,3,3,9788055816869,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,312473,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A1,A1,NU,1,M2,1,1,0,1,1,1,1,,,,,,,,
2021,AAB,A1,24780,716000000,FFA,UKFFFAULK,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,20,NULL,NULL,NULL,NULL,100.00000,1,1,9788055817316,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,316990,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A1,A1,NU,1,M6,1,1,0,1,1,1,1,,,,,,,,
2021,ACB,A2,24780,716000000,FSS,UKFFSSUML,Univerzita Konštantína Filozofa v Nitre,Fakulta stredoeurópskych štúdií,20,NULL,NULL,NULL,NULL,100.00000,1,1,9788055817385,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,hun,,418064,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M6,1,0,0,1,0,1,1,,,,,,,,
2021,BCI,A2,24780,716000000,FPV,UKFFPVKMA,Univerzita Konštantína Filozofa v Nitre,Fakulta prírodných vied a informatiky,240,NULL,NULL,NULL,NULL,50.00000,1,1,9788082220318,NULL,NULL,NULL,NULL,NULL,neuvedené,Vysoká škola DTI,NULL,slo,,419541,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M1,1,0,0,1,0,1,1,,,,,,,,
2020,GAI,O,24780,716000000,FFA,UKFFFAKMU,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,30,NULL,NULL,NULL,NULL,100.00000,1,1,NULL,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,419850,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,O,O,NU,1,M6,0,0,0,1,0,0,1,,,,,,,,
2021,AAB,A1,24780,716000000,PFA,UKFPFAKPE,Univerzita Konštantína Filozofa v Nitre,Pedagogická fakulta UKF,10,NULL,NULL,NULL,NULL,60.83000,2,2,9788057103820,NULL,NULL,NULL,NULL,NULL,neuvedené,Wolters Kluwer SR,NULL,slo,,420379,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,4,A1,A1,NU,1,M5,1,1,0,1,0.25,0.25,0.25,,,,,,,,
2021,AAB,A1,24780,716000000,PFA,UKFPFAKTT,Univerzita Konštantína Filozofa v Nitre,Pedagogická fakulta UKF,10,NULL,NULL,NULL,NULL,13.33000,1,1,9788057103820,NULL,NULL,NULL,NULL,NULL,neuvedené,Wolters Kluwer SR,NULL,slo,,420379,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,4,A1,A1,NU,1,M5,1,1,0,1,0.25,0.25,0.25,,,,,,,,
2021,FAI,A2,24780,716000000,PFA,UKFPFAKPE,Univerzita Konštantína Filozofa v Nitre,Pedagogická fakulta UKF,10,NULL,NULL,NULL,NULL,100.00000,1,1,9788057103820,NULL,NULL,NULL,NULL,NULL,neuvedené,Wolters Kluwer SR,NULL,slo,,420379,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,4,A2,A2,NU,1,M5,1,0,0,1,0,0.25,0.25,,,,,,,,
2021,AAB,A1,24780,716000000,FPV,UKFFPVUMI,Univerzita Konštantína Filozofa v Nitre,Fakulta prírodných vied a informatiky,10,NULL,NULL,NULL,NULL,25.84000,1,1,9788057103820,NULL,NULL,NULL,NULL,NULL,neuvedené,Wolters Kluwer SR,NULL,slo,,420379,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,4,A1,A1,NU,1,M5,1,1,0,1,0.25,0.25,0.25,,,,,,,,
2020,AGI,O,24780,716000000,FFA,UKFFFAKAR,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,30,NULL,NULL,NULL,NULL,100.00000,2,2,NULL,NULL,NULL,NULL,NULL,NULL,uvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,420597,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,O,O,NU,1,M6,0,0,0,1,0,0,1,,,,,,,,
2020,AGI,O,24780,716000000,FFA,UKFFFAKAR,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,30,NULL,NULL,NULL,NULL,100.00000,1,1,NULL,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,420602,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,O,O,NU,1,M6,0,0,0,1,0,0,1,,,,,,,,
2021,ACB,A2,24780,716000000,FSV,UKFFSVURS,Univerzita Konštantína Filozofa v Nitre,Fakulta sociálnych vied a zdravotníctva,60,NULL,NULL,NULL,NULL,100.00000,1,1,9788055817484,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,422915,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M5,1,0,0,1,0,1,1,,,,,,,,
2021,FAI,A2,24780,716000000,FPV,UKFFPVKZA,Univerzita Konštantína Filozofa v Nitre,Fakulta prírodných vied a informatiky,10,NULL,NULL,NULL,NULL,98.00000,1,1,9788089247783,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,423697,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M5,1,0,0,1,0,1,1,,,,,,,,
2021,CAB,A2,24780,716000000,FFA,UKFFFAKAA,Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,20,NULL,NULL,NULL,NULL,100.00000,1,1,9788022212090,NULL,NULL,NULL,NULL,NULL,neuvedené,Tatran,NULL,slo,,424473,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M6,1,0,0,1,0,1,1,,,,,,,,
2021,ACB,A2,24780,716000000,FPV,UKFFPVKIN,Univerzita Konštantína Filozofa v Nitre,Fakulta prírodných vied a informatiky,160,NULL,NULL,NULL,NULL,100.00000,2,2,9788055817941,NULL,NULL,NULL,NULL,NULL,neuvedené,Univerzita Konštantína Filozofa v Nitre,NULL,slo,,431314,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716000000,1,1,A2,A2,NU,1,M2,1,0,0,1,0,1,1,,,,,,,,
